Strain	Lineage	BdDV1	scaffold_10	start	end	Coverage	Average_NCL	Coverage/Average_NCL
CLFT061	BRAZIL	Infected	scaffold_10	32377	32477	32.71	44.89	0.728670082
CLFT061	BRAZIL	Infected	scaffold_10	32477	32577	27.24	44.89	0.606816663
CLFT061	BRAZIL	Infected	scaffold_10	32577	32677	38.42	44.89	0.855869904
CLFT061	BRAZIL	Infected	scaffold_10	32677	32777	34.3	44.89	0.764089998
CLFT061	BRAZIL	Infected	scaffold_10	32777	32877	43.53	44.89	0.96970372
CLFT061	BRAZIL	Infected	scaffold_10	32877	32977	36.33	44.89	0.809311651
CLFT061	BRAZIL	Infected	scaffold_10	32977	33077	30.42	44.89	0.677656494
CLFT061	BRAZIL	Infected	scaffold_10	33077	33177	36.37	44.89	0.810202718
CLFT061	BRAZIL	Infected	scaffold_10	33177	33277	45.12	44.89	1.005123636
CLFT061	BRAZIL	Infected	scaffold_10	33277	33377	37.09	44.89	0.826241925
CLFT061	BRAZIL	Infected	scaffold_10	33377	33477	32.51	44.89	0.724214747
CLFT061	BRAZIL	Infected	scaffold_10	33477	33577	44.08	44.89	0.981955892
CLFT061	BRAZIL	Infected	scaffold_10	33577	33677	39.41	44.89	0.877923814
CLFT061	BRAZIL	Infected	scaffold_10	33677	33777	35.57	44.89	0.792381377
CLFT061	BRAZIL	Infected	scaffold_10	33777	33877	35.49	44.89	0.790599243
CLFT061	BRAZIL	Infected	scaffold_10	33877	33977	35.5	44.89	0.790822009
CLFT061	BRAZIL	Infected	scaffold_10	33977	34077	36.03	44.89	0.802628648
CLFT061	BRAZIL	Infected	scaffold_10	34077	34177	32.08	44.89	0.714635776
CLFT061	BRAZIL	Infected	scaffold_10	34177	34277	23.97	44.89	0.533971931
CLFT061	BRAZIL	Infected	scaffold_10	34277	34377	24.75	44.89	0.551347739
CLFT061	BRAZIL	Infected	scaffold_10	34377	34477	31.18	44.89	0.694586768
CLFT061	BRAZIL	Infected	scaffold_10	34477	34577	32.48	44.89	0.723546447
CLFT061	BRAZIL	Infected	scaffold_10	34577	34677	34.01	44.89	0.757629762
CLFT061	BRAZIL	Infected	scaffold_10	34677	34777	27.91	44.89	0.621742036
CLFT061	BRAZIL	Infected	scaffold_10	34777	34877	22.65	44.89	0.504566719
CLFT061	BRAZIL	Infected	scaffold_10	34877	34977	22.33	44.89	0.497438182
CLFT061	BRAZIL	Infected	scaffold_10	34977	35077	18.8	44.89	0.418801515
CLFT061	BRAZIL	Infected	scaffold_10	35077	35177	19.61	44.89	0.436845623
CLFT061	BRAZIL	Infected	scaffold_10	35177	35277	18.73	44.89	0.417242147
CLFT061	BRAZIL	Infected	scaffold_10	35277	35377	19.62	44.89	0.437068389
CLFT061	BRAZIL	Infected	scaffold_10	35377	35477	21.79	44.89	0.485408777
CLFT061	BRAZIL	Infected	scaffold_10	35477	35577	26.89	44.89	0.599019826
CLFT061	BRAZIL	Infected	scaffold_10	35577	35677	25.22	44.89	0.561817777
CLFT061	BRAZIL	Infected	scaffold_10	35677	35777	28.18	44.89	0.627756739
CLFT061	BRAZIL	Infected	scaffold_10	35777	35877	36.08	44.89	0.803742482
CLFT061	BRAZIL	Infected	scaffold_10	35877	35977	33.64	44.89	0.749387391
CLFT061	BRAZIL	Infected	scaffold_10	35977	36077	29.87	44.89	0.665404322
CLFT061	BRAZIL	Infected	scaffold_10	36077	36177	22.39	44.89	0.498774783
CLFT061	BRAZIL	Infected	scaffold_10	36177	36277	16.43	44.89	0.366005792
CLFT061	BRAZIL	Infected	scaffold_10	36277	36377	15.86	44.89	0.353308086
CLFT061	BRAZIL	Infected	scaffold_10	36377	36477	17.98	44.89	0.40053464
CLFT071	BRAZIL	Uninfected	scaffold_10	6	106	4.22	62.49	0.067530805
CLFT071	BRAZIL	Uninfected	scaffold_10	106	145	2.538462	62.49	0.040621892
CLFT071	BRAZIL	Uninfected	scaffold_10	152	252	10.36	62.49	0.165786526
CLFT071	BRAZIL	Uninfected	scaffold_10	252	352	23.3	62.49	0.372859658
CLFT071	BRAZIL	Uninfected	scaffold_10	352	452	35.37	62.49	0.566010562
CLFT071	BRAZIL	Uninfected	scaffold_10	452	552	45.78	62.49	0.732597216
CLFT071	BRAZIL	Uninfected	scaffold_10	552	652	39.32	62.49	0.629220675
CLFT071	BRAZIL	Uninfected	scaffold_10	652	752	44.92	62.49	0.718835014
CLFT071	BRAZIL	Uninfected	scaffold_10	752	852	34.64	62.49	0.554328693
CLFT071	BRAZIL	Uninfected	scaffold_10	852	952	46.57	62.49	0.745239238
CLFT071	BRAZIL	Uninfected	scaffold_10	952	1052	50.2	62.49	0.803328533
CLFT071	BRAZIL	Uninfected	scaffold_10	1052	1152	59.29	62.49	0.948791807
CLFT071	BRAZIL	Uninfected	scaffold_10	1152	1252	46.55	62.49	0.744919187
CLFT071	BRAZIL	Uninfected	scaffold_10	1252	1352	53.24	62.49	0.851976316
CLFT071	BRAZIL	Uninfected	scaffold_10	1352	1452	44.85	62.49	0.717714834
CLFT071	BRAZIL	Uninfected	scaffold_10	1452	1552	35.35	62.49	0.56569051
CLFT071	BRAZIL	Uninfected	scaffold_10	1552	1652	42.99	62.49	0.687950072
CLFT071	BRAZIL	Uninfected	scaffold_10	1652	1752	38.08	62.49	0.6093775
CLFT071	BRAZIL	Uninfected	scaffold_10	1752	1852	34.69	62.49	0.555128821
CLFT071	BRAZIL	Uninfected	scaffold_10	1852	1952	37.69	62.49	0.603136502
CLFT071	BRAZIL	Uninfected	scaffold_10	1952	2052	23.85	62.49	0.381661066
CLFT071	BRAZIL	Uninfected	scaffold_10	2052	2152	65.64	62.49	1.050408065
CLFT071	BRAZIL	Uninfected	scaffold_10	2152	2252	79.82	62.49	1.277324372
CLFT071	BRAZIL	Uninfected	scaffold_10	2252	2352	61.48	62.49	0.983837414
CLFT071	BRAZIL	Uninfected	scaffold_10	2352	2452	46.4	62.49	0.742518803
CLFT071	BRAZIL	Uninfected	scaffold_10	2452	2552	43.09	62.49	0.689550328
CLFT071	BRAZIL	Uninfected	scaffold_10	2552	2652	36.46	62.49	0.583453353
CLFT071	BRAZIL	Uninfected	scaffold_10	2652	2752	38.64	62.49	0.618338934
CLFT071	BRAZIL	Uninfected	scaffold_10	2752	2852	32	62.49	0.512081933
CLFT071	BRAZIL	Uninfected	scaffold_10	2852	2952	36.24	62.49	0.579932789
CLFT071	BRAZIL	Uninfected	scaffold_10	2952	3052	43.11	62.49	0.689870379
CLFT071	BRAZIL	Uninfected	scaffold_10	3052	3152	34.75	62.49	0.556088974
CLFT071	BRAZIL	Uninfected	scaffold_10	3152	3252	26.52	62.49	0.424387902
CLFT071	BRAZIL	Uninfected	scaffold_10	3252	3352	31.39	62.49	0.502320371
CLFT071	BRAZIL	Uninfected	scaffold_10	3352	3452	34.94	62.49	0.559129461
CLFT071	BRAZIL	Uninfected	scaffold_10	3452	3552	38.05	62.49	0.608897424
CLFT071	BRAZIL	Uninfected	scaffold_10	3552	3652	29.17	62.49	0.466794687
CLFT071	BRAZIL	Uninfected	scaffold_10	3652	3752	32.56	62.49	0.521043367
CLFT071	BRAZIL	Uninfected	scaffold_10	3752	3852	37.75	62.49	0.604096655
CLFT071	BRAZIL	Uninfected	scaffold_10	3852	3952	54.5	62.49	0.872139542
CLFT071	BRAZIL	Uninfected	scaffold_10	3952	4052	47.02	62.49	0.75244039
CLFT071	BRAZIL	Uninfected	scaffold_10	4052	4152	38.01	62.49	0.608257321
CLFT071	BRAZIL	Uninfected	scaffold_10	4152	4252	34.69	62.49	0.555128821
CLFT071	BRAZIL	Uninfected	scaffold_10	4252	4352	23.79	62.49	0.380700912
CLFT071	BRAZIL	Uninfected	scaffold_10	4352	4452	24.26	62.49	0.388222116
CLFT071	BRAZIL	Uninfected	scaffold_10	4452	4552	35.35	62.49	0.56569051
CLFT071	BRAZIL	Uninfected	scaffold_10	4552	4652	60.48	62.49	0.967834854
CLFT071	BRAZIL	Uninfected	scaffold_10	4652	4752	34.3	62.49	0.548887822
CLFT071	BRAZIL	Uninfected	scaffold_10	4752	4769	4.941176	62.49	0.079071467
CLFT071	BRAZIL	Uninfected	scaffold_10	4989	5089	18.22	62.49	0.291566651
CLFT071	BRAZIL	Uninfected	scaffold_10	5089	5189	14.54	62.49	0.232677228
CLFT071	BRAZIL	Uninfected	scaffold_10	5189	5289	35.7	62.49	0.571291407
CLFT071	BRAZIL	Uninfected	scaffold_10	5289	5389	71.12	62.49	1.138102096
CLFT071	BRAZIL	Uninfected	scaffold_10	5389	5489	70.36	62.49	1.12594015
CLFT071	BRAZIL	Uninfected	scaffold_10	5489	5589	64.02	62.49	1.024483917
CLFT071	BRAZIL	Uninfected	scaffold_10	5589	5689	54.6	62.49	0.873739798
CLFT071	BRAZIL	Uninfected	scaffold_10	5689	5789	63.52	62.49	1.016482637
CLFT071	BRAZIL	Uninfected	scaffold_10	5789	5889	69.68	62.49	1.115058409
CLFT071	BRAZIL	Uninfected	scaffold_10	5889	5989	68.27	62.49	1.092494799
CLFT071	BRAZIL	Uninfected	scaffold_10	5989	6089	69.87	62.49	1.118098896
CLFT071	BRAZIL	Uninfected	scaffold_10	6089	6189	80.26	62.49	1.284365498
CLFT071	BRAZIL	Uninfected	scaffold_10	6189	6289	80.16	62.49	1.282765242
CLFT071	BRAZIL	Uninfected	scaffold_10	6289	6389	127.47	62.49	2.039846375
CLFT071	BRAZIL	Uninfected	scaffold_10	6389	6489	106.65	62.49	1.706673068
CLFT071	BRAZIL	Uninfected	scaffold_10	6489	6589	68.81	62.49	1.101136182
CLFT071	BRAZIL	Uninfected	scaffold_10	6589	6689	20.73	62.49	0.331733077
CLFT071	BRAZIL	Uninfected	scaffold_10	6689	6789	20.5	62.49	0.328052488
CLFT071	BRAZIL	Uninfected	scaffold_10	6789	6889	32.71	62.49	0.523443751
CLFT071	BRAZIL	Uninfected	scaffold_10	6889	6989	30.41	62.49	0.486637862
CLFT071	BRAZIL	Uninfected	scaffold_10	6989	7089	33.11	62.49	0.529844775
CLFT071	BRAZIL	Uninfected	scaffold_10	7089	7189	10.3	62.49	0.164826372
CLFT071	BRAZIL	Uninfected	scaffold_10	7189	7289	3.09	62.49	0.049447912
CLFT071	BRAZIL	Uninfected	scaffold_10	7289	7389	39.54	62.49	0.632741239
CLFT071	BRAZIL	Uninfected	scaffold_10	7389	7489	75.14	62.49	1.202432389
CLFT071	BRAZIL	Uninfected	scaffold_10	7489	7589	53.26	62.49	0.852296367
CLFT071	BRAZIL	Uninfected	scaffold_10	7589	7689	23.12	62.49	0.369979197
CLFT071	BRAZIL	Uninfected	scaffold_10	7689	7789	16.8	62.49	0.268843015
CLFT071	BRAZIL	Uninfected	scaffold_10	7789	7889	9.43	62.49	0.150904145
CLFT071	BRAZIL	Uninfected	scaffold_10	7889	7897	2.375	62.49	0.038006081
CLFT071	BRAZIL	Uninfected	scaffold_10	7908	8008	21.49	62.49	0.343895023
CLFT071	BRAZIL	Uninfected	scaffold_10	8008	8108	36.73	62.49	0.587774044
CLFT071	BRAZIL	Uninfected	scaffold_10	8108	8208	37.21	62.49	0.595455273
CLFT071	BRAZIL	Uninfected	scaffold_10	8208	8308	26.77	62.49	0.428388542
CLFT071	BRAZIL	Uninfected	scaffold_10	8308	8408	33.54	62.49	0.536725876
CLFT071	BRAZIL	Uninfected	scaffold_10	8408	8508	68.68	62.49	1.099055849
CLFT071	BRAZIL	Uninfected	scaffold_10	8508	8608	66.04	62.49	1.056809089
CLFT071	BRAZIL	Uninfected	scaffold_10	8608	8708	58.14	62.49	0.930388862
CLFT071	BRAZIL	Uninfected	scaffold_10	8708	8808	43.41	62.49	0.694671147
CLFT071	BRAZIL	Uninfected	scaffold_10	8808	8908	44.19	62.49	0.707153145
CLFT071	BRAZIL	Uninfected	scaffold_10	8908	9008	48.14	62.49	0.770363258
CLFT071	BRAZIL	Uninfected	scaffold_10	9008	9108	42.87	62.49	0.686029765
CLFT071	BRAZIL	Uninfected	scaffold_10	9108	9208	37.83	62.49	0.60537686
CLFT071	BRAZIL	Uninfected	scaffold_10	9208	9308	40.81	62.49	0.65306449
CLFT071	BRAZIL	Uninfected	scaffold_10	9308	9408	38.94	62.49	0.623139702
CLFT071	BRAZIL	Uninfected	scaffold_10	9408	9508	53.08	62.49	0.849415907
CLFT071	BRAZIL	Uninfected	scaffold_10	9508	9608	56.24	62.49	0.899983997
CLFT071	BRAZIL	Uninfected	scaffold_10	9608	9708	33.51	62.49	0.536245799
CLFT071	BRAZIL	Uninfected	scaffold_10	9708	9808	24.03	62.49	0.384541527
CLFT071	BRAZIL	Uninfected	scaffold_10	9808	9908	28.48	62.49	0.45575292
CLFT071	BRAZIL	Uninfected	scaffold_10	9908	10008	12.15	62.49	0.194431109
CLFT071	BRAZIL	Uninfected	scaffold_10	10008	10108	19.17	62.49	0.306769083
CLFT071	BRAZIL	Uninfected	scaffold_10	10108	10208	31.9	62.49	0.510481677
CLFT071	BRAZIL	Uninfected	scaffold_10	10208	10308	37.9	62.49	0.60649704
CLFT071	BRAZIL	Uninfected	scaffold_10	10308	10408	40.1	62.49	0.641702672
CLFT071	BRAZIL	Uninfected	scaffold_10	10408	10508	29.78	62.49	0.476556249
CLFT071	BRAZIL	Uninfected	scaffold_10	10508	10608	44.16	62.49	0.706673068
CLFT071	BRAZIL	Uninfected	scaffold_10	10608	10708	47.79	62.49	0.764762362
CLFT071	BRAZIL	Uninfected	scaffold_10	10708	10808	54.02	62.49	0.864458313
CLFT071	BRAZIL	Uninfected	scaffold_10	10808	10908	33.19	62.49	0.53112498
CLFT071	BRAZIL	Uninfected	scaffold_10	10908	11008	22.56	62.49	0.361017763
CLFT071	BRAZIL	Uninfected	scaffold_10	11008	11108	43.3	62.49	0.692910866
CLFT071	BRAZIL	Uninfected	scaffold_10	11108	11208	46.79	62.49	0.748759802
CLFT071	BRAZIL	Uninfected	scaffold_10	11208	11308	49.54	62.49	0.792766843
CLFT071	BRAZIL	Uninfected	scaffold_10	11308	11408	41.09	62.49	0.657545207
CLFT071	BRAZIL	Uninfected	scaffold_10	11408	11508	26.92	62.49	0.430788926
CLFT071	BRAZIL	Uninfected	scaffold_10	11508	11550	8.595238	62.49	0.137545815
CLFT071	BRAZIL	Uninfected	scaffold_10	11556	11656	32.81	62.49	0.525044007
CLFT071	BRAZIL	Uninfected	scaffold_10	11656	11756	66.93	62.49	1.071051368
CLFT071	BRAZIL	Uninfected	scaffold_10	11756	11856	56.09	62.49	0.897583613
CLFT071	BRAZIL	Uninfected	scaffold_10	11856	11956	53.92	62.49	0.862858057
CLFT071	BRAZIL	Uninfected	scaffold_10	11956	12056	47.62	62.49	0.762041927
CLFT071	BRAZIL	Uninfected	scaffold_10	12056	12156	63.4	62.49	1.01456233
CLFT071	BRAZIL	Uninfected	scaffold_10	12156	12256	39.38	62.49	0.630180829
CLFT071	BRAZIL	Uninfected	scaffold_10	12256	12356	45.16	62.49	0.722675628
CLFT071	BRAZIL	Uninfected	scaffold_10	12356	12456	52.92	62.49	0.846855497
CLFT071	BRAZIL	Uninfected	scaffold_10	12456	12556	43.19	62.49	0.691150584
CLFT071	BRAZIL	Uninfected	scaffold_10	12556	12656	37.52	62.49	0.600416067
CLFT071	BRAZIL	Uninfected	scaffold_10	12656	12756	25.67	62.49	0.410785726
CLFT071	BRAZIL	Uninfected	scaffold_10	12756	12856	35.01	62.49	0.56024964
CLFT071	BRAZIL	Uninfected	scaffold_10	12856	12956	30.07	62.49	0.481196992
CLFT071	BRAZIL	Uninfected	scaffold_10	12956	13056	29.22	62.49	0.467594815
CLFT071	BRAZIL	Uninfected	scaffold_10	13056	13156	39.21	62.49	0.627460394
CLFT071	BRAZIL	Uninfected	scaffold_10	13156	13256	40.38	62.49	0.646183389
CLFT071	BRAZIL	Uninfected	scaffold_10	13256	13356	16.04	62.49	0.256681069
CLFT071	BRAZIL	Uninfected	scaffold_10	13356	13456	4.62	62.49	0.073931829
CLFT071	BRAZIL	Uninfected	scaffold_10	13456	13556	12.49	62.49	0.19987198
CLFT071	BRAZIL	Uninfected	scaffold_10	13556	13656	16.17	62.49	0.258761402
CLFT071	BRAZIL	Uninfected	scaffold_10	13656	13756	16.19	62.49	0.259081453
CLFT071	BRAZIL	Uninfected	scaffold_10	13756	13856	13.52	62.49	0.216354617
CLFT071	BRAZIL	Uninfected	scaffold_10	13856	13956	4.01	62.49	0.064170267
CLFT071	BRAZIL	Uninfected	scaffold_10	13956	14056	11.77	62.49	0.188350136
CLFT071	BRAZIL	Uninfected	scaffold_10	14056	14156	25.44	62.49	0.407105137
CLFT071	BRAZIL	Uninfected	scaffold_10	14156	14256	40.55	62.49	0.648903825
CLFT071	BRAZIL	Uninfected	scaffold_10	14256	14356	52.83	62.49	0.845415266
CLFT071	BRAZIL	Uninfected	scaffold_10	14356	14456	63.5	62.49	1.016162586
CLFT071	BRAZIL	Uninfected	scaffold_10	14456	14556	69.01	62.49	1.104336694
CLFT071	BRAZIL	Uninfected	scaffold_10	14556	14656	54.3	62.49	0.86893903
CLFT071	BRAZIL	Uninfected	scaffold_10	14656	14756	64.43	62.49	1.031044967
CLFT071	BRAZIL	Uninfected	scaffold_10	14756	14856	74.17	62.49	1.186909906
CLFT071	BRAZIL	Uninfected	scaffold_10	14856	14956	80.76	62.49	1.292366779
CLFT071	BRAZIL	Uninfected	scaffold_10	14956	15056	68.18	62.49	1.091054569
CLFT071	BRAZIL	Uninfected	scaffold_10	15056	15156	97.89	62.49	1.566490639
CLFT071	BRAZIL	Uninfected	scaffold_10	15156	15256	120.07	62.49	1.921427428
CLFT071	BRAZIL	Uninfected	scaffold_10	15256	15356	85.77	62.49	1.372539606
CLFT071	BRAZIL	Uninfected	scaffold_10	15356	15456	40.96	62.49	0.655464874
CLFT071	BRAZIL	Uninfected	scaffold_10	15456	15475	19.263158	62.49	0.30825985
CLFT071	BRAZIL	Uninfected	scaffold_10	15490	15590	6.76	62.49	0.108177308
CLFT071	BRAZIL	Uninfected	scaffold_10	15590	15690	10.69	62.49	0.171067371
CLFT071	BRAZIL	Uninfected	scaffold_10	15690	15790	20.74	62.49	0.331893103
CLFT071	BRAZIL	Uninfected	scaffold_10	15790	15890	56.98	62.49	0.911825892
CLFT071	BRAZIL	Uninfected	scaffold_10	15890	15990	60.51	62.49	0.96831493
CLFT071	BRAZIL	Uninfected	scaffold_10	15990	16090	52.01	62.49	0.832293167
CLFT071	BRAZIL	Uninfected	scaffold_10	16090	16190	31.2	62.49	0.499279885
CLFT071	BRAZIL	Uninfected	scaffold_10	16190	16200	7.2	62.49	0.115218435
CLFT071	BRAZIL	Uninfected	scaffold_10	16203	16303	20.81	62.49	0.333013282
CLFT071	BRAZIL	Uninfected	scaffold_10	16303	16403	72.81	62.49	1.165146423
CLFT071	BRAZIL	Uninfected	scaffold_10	16403	16503	82.75	62.49	1.324211874
CLFT071	BRAZIL	Uninfected	scaffold_10	16503	16603	86.54	62.49	1.384861578
CLFT071	BRAZIL	Uninfected	scaffold_10	16603	16703	86.98	62.49	1.391902704
CLFT071	BRAZIL	Uninfected	scaffold_10	16703	16803	81.03	62.49	1.29668747
CLFT071	BRAZIL	Uninfected	scaffold_10	16803	16903	88.98	62.49	1.423907825
CLFT071	BRAZIL	Uninfected	scaffold_10	16903	17003	90.91	62.49	1.454792767
CLFT071	BRAZIL	Uninfected	scaffold_10	17003	17103	76.41	62.49	1.222755641
CLFT071	BRAZIL	Uninfected	scaffold_10	17103	17203	67.24	62.49	1.076012162
CLFT071	BRAZIL	Uninfected	scaffold_10	17203	17303	70.18	62.49	1.12305969
CLFT071	BRAZIL	Uninfected	scaffold_10	17303	17403	90.94	62.49	1.455272844
CLFT071	BRAZIL	Uninfected	scaffold_10	17403	17503	83.15	62.49	1.330612898
CLFT071	BRAZIL	Uninfected	scaffold_10	17503	17603	70.3	62.49	1.124979997
CLFT071	BRAZIL	Uninfected	scaffold_10	17603	17703	86.76	62.49	1.388382141
CLFT071	BRAZIL	Uninfected	scaffold_10	17703	17803	79.77	62.49	1.276524244
CLFT071	BRAZIL	Uninfected	scaffold_10	17803	17903	73.78	62.49	1.180668907
CLFT071	BRAZIL	Uninfected	scaffold_10	17903	18003	38.69	62.49	0.619139062
CLFT071	BRAZIL	Uninfected	scaffold_10	18003	18103	55.18	62.49	0.883021283
CLFT071	BRAZIL	Uninfected	scaffold_10	18103	18203	78.96	62.49	1.26356217
CLFT071	BRAZIL	Uninfected	scaffold_10	18203	18303	69.46	62.49	1.111537846
CLFT071	BRAZIL	Uninfected	scaffold_10	18303	18403	70.33	62.49	1.125460074
CLFT071	BRAZIL	Uninfected	scaffold_10	18403	18503	69.59	62.49	1.113618179
CLFT071	BRAZIL	Uninfected	scaffold_10	18503	18603	48.85	62.49	0.781725076
CLFT071	BRAZIL	Uninfected	scaffold_10	18603	18703	34.48	62.49	0.551768283
CLFT071	BRAZIL	Uninfected	scaffold_10	18703	18803	32.43	62.49	0.518963034
CLFT071	BRAZIL	Uninfected	scaffold_10	18803	18903	21.62	62.49	0.345975356
CLFT071	BRAZIL	Uninfected	scaffold_10	18903	19003	17.43	62.49	0.278924628
CLFT071	BRAZIL	Uninfected	scaffold_10	19003	19103	46.98	62.49	0.751800288
CLFT071	BRAZIL	Uninfected	scaffold_10	19103	19203	28.44	62.49	0.455112818
CLFT071	BRAZIL	Uninfected	scaffold_10	19203	19303	71.33	62.49	1.141462634
CLFT071	BRAZIL	Uninfected	scaffold_10	19303	19403	97.43	62.49	1.559129461
CLFT071	BRAZIL	Uninfected	scaffold_10	19403	19503	103.58	62.49	1.657545207
CLFT071	BRAZIL	Uninfected	scaffold_10	19503	19603	97.94	62.49	1.567290767
CLFT071	BRAZIL	Uninfected	scaffold_10	19603	19703	99.34	62.49	1.589694351
CLFT071	BRAZIL	Uninfected	scaffold_10	19703	19803	90.49	62.49	1.448071691
CLFT071	BRAZIL	Uninfected	scaffold_10	19803	19903	115.49	62.49	1.848135702
CLFT071	BRAZIL	Uninfected	scaffold_10	19903	20003	111.76	62.49	1.788446151
CLFT071	BRAZIL	Uninfected	scaffold_10	20003	20103	99.08	62.49	1.585533685
CLFT071	BRAZIL	Uninfected	scaffold_10	20103	20203	90	62.49	1.440230437
CLFT071	BRAZIL	Uninfected	scaffold_10	20203	20303	82.23	62.49	1.315890542
CLFT071	BRAZIL	Uninfected	scaffold_10	20303	20403	75.89	62.49	1.214434309
CLFT071	BRAZIL	Uninfected	scaffold_10	20403	20503	70.69	62.49	1.131220995
CLFT071	BRAZIL	Uninfected	scaffold_10	20503	20603	75.39	62.49	1.206433029
CLFT071	BRAZIL	Uninfected	scaffold_10	20603	20703	76.31	62.49	1.221155385
CLFT071	BRAZIL	Uninfected	scaffold_10	20703	20803	58.42	62.49	0.934869579
CLFT071	BRAZIL	Uninfected	scaffold_10	20803	20903	20.89	62.49	0.334293487
CLFT071	BRAZIL	Uninfected	scaffold_10	20903	21003	19.63	62.49	0.314130261
CLFT071	BRAZIL	Uninfected	scaffold_10	21003	21103	37.36	62.49	0.597855657
CLFT071	BRAZIL	Uninfected	scaffold_10	21103	21189	24.581395	62.49	0.393365258
CLFT071	BRAZIL	Uninfected	scaffold_10	25729	25829	26.26	62.49	0.420227236
CLFT071	BRAZIL	Uninfected	scaffold_10	25929	26029	146.5	62.49	2.3443751
CLFT071	BRAZIL	Uninfected	scaffold_10	26029	26129	135.32	62.49	2.165466475
CLFT071	BRAZIL	Uninfected	scaffold_10	26129	26229	53.15	62.49	0.850536086
CLFT071	BRAZIL	Uninfected	scaffold_10	26229	26329	55.43	62.49	0.887021924
CLFT071	BRAZIL	Uninfected	scaffold_10	26329	26429	47.98	62.49	0.767802848
CLFT071	BRAZIL	Uninfected	scaffold_10	26429	26529	16.62	62.49	0.265962554
CLFT071	BRAZIL	Uninfected	scaffold_10	26529	26629	12.79	62.49	0.204672748
CLFT071	BRAZIL	Uninfected	scaffold_10	26629	26729	11.98	62.49	0.191710674
CLFT071	BRAZIL	Uninfected	scaffold_10	26729	26828	8.373737	62.49	0.134001232
CLFT071	BRAZIL	Uninfected	scaffold_10	26833	26899	3.060606	62.49	0.048977532
CLFT071	BRAZIL	Uninfected	scaffold_10	26947	27047	7.65	62.49	0.122419587
CLFT071	BRAZIL	Uninfected	scaffold_10	27047	27145	8.857143	62.49	0.141736966
CLFT071	BRAZIL	Uninfected	scaffold_10	27155	27255	8.23	62.49	0.131701072
CLFT071	BRAZIL	Uninfected	scaffold_10	27255	27355	21.43	62.49	0.34293487
CLFT071	BRAZIL	Uninfected	scaffold_10	27355	27436	9.234568	62.49	0.147776732
CLFT071	BRAZIL	Uninfected	scaffold_10	27469	27569	1.26	62.49	0.020163226
CLFT071	BRAZIL	Uninfected	scaffold_10	27569	27617	1.770833	62.49	0.028337862
CLFT071	BRAZIL	Uninfected	scaffold_10	28055	28155	5.21	62.49	0.08337334
CLFT071	BRAZIL	Uninfected	scaffold_10	28155	28255	8.43	62.49	0.134901584
CLFT071	BRAZIL	Uninfected	scaffold_10	28255	28355	13.04	62.49	0.208673388
CLFT071	BRAZIL	Uninfected	scaffold_10	28355	28455	9.04	62.49	0.144663146
CLFT071	BRAZIL	Uninfected	scaffold_10	28455	28545	5.544444	62.49	0.0887253
CLFT071	BRAZIL	Uninfected	scaffold_10	28674	28743	1.130435	62.49	0.018089854
CLFT071	BRAZIL	Uninfected	scaffold_10	28817	28890	2.342466	62.49	0.037485454
CLFT071	BRAZIL	Uninfected	scaffold_10	28990	29077	2.747126	62.49	0.04396105
CLFT071	BRAZIL	Uninfected	scaffold_10	29134	29234	10.75	62.49	0.172027524
CLFT071	BRAZIL	Uninfected	scaffold_10	29234	29334	12.3	62.49	0.196831493
CLFT071	BRAZIL	Uninfected	scaffold_10	29334	29434	11.75	62.49	0.188030085
CLFT071	BRAZIL	Uninfected	scaffold_10	29434	29534	27.74	62.49	0.443911026
CLFT071	BRAZIL	Uninfected	scaffold_10	29534	29634	29.07	62.49	0.465194431
CLFT071	BRAZIL	Uninfected	scaffold_10	29634	29734	31.53	62.49	0.50456073
CLFT071	BRAZIL	Uninfected	scaffold_10	29734	29834	30	62.49	0.480076812
CLFT071	BRAZIL	Uninfected	scaffold_10	29834	29934	22.35	62.49	0.357657225
CLFT071	BRAZIL	Uninfected	scaffold_10	29934	30034	23.21	62.49	0.371419427
CLFT071	BRAZIL	Uninfected	scaffold_10	30034	30134	16.31	62.49	0.26100176
CLFT071	BRAZIL	Uninfected	scaffold_10	30134	30234	21.5	62.49	0.344055049
CLFT071	BRAZIL	Uninfected	scaffold_10	30234	30334	30.65	62.49	0.490478477
CLFT071	BRAZIL	Uninfected	scaffold_10	30334	30434	22.91	62.49	0.366618659
CLFT071	BRAZIL	Uninfected	scaffold_10	30434	30534	15.47	62.49	0.24755961
CLFT071	BRAZIL	Uninfected	scaffold_10	30534	30634	19.68	62.49	0.314930389
CLFT071	BRAZIL	Uninfected	scaffold_10	30634	30734	14.5	62.49	0.232037126
CLFT071	BRAZIL	Uninfected	scaffold_10	30734	30834	18.64	62.49	0.298287726
CLFT071	BRAZIL	Uninfected	scaffold_10	30834	30934	19.57	62.49	0.313170107
CLFT071	BRAZIL	Uninfected	scaffold_10	30934	31034	27.37	62.49	0.437990078
CLFT071	BRAZIL	Uninfected	scaffold_10	31034	31134	29.14	62.49	0.46631461
CLFT071	BRAZIL	Uninfected	scaffold_10	31134	31234	21.57	62.49	0.345175228
CLFT071	BRAZIL	Uninfected	scaffold_10	31234	31334	20.14	62.49	0.322291567
CLFT071	BRAZIL	Uninfected	scaffold_10	31334	31424	10.644444	62.49	0.170338358
CLFT071	BRAZIL	Uninfected	scaffold_10	31429	31465	1	62.49	0.01600256
